,ASIN,title,rating,review_count,price,product_type
116,B088LYZXYG,"15.6"" Portable Monitor, Zissu's Laptop Dual USB C Monitor, Ultra-Slim Full HD 1080P HDR IPS Screen Gaming Monitor, Eye Care 178° Full View Computer Display, Mini HDMI for Laptop PC Switch PS4 Xbox",4.6,711,179.99,monitor
117,B08DWQ4JYF,"Dell S2421H 24 Inch Full HD 1080p IPS Ultra-Thin Bezel Monitor 2 x HDMI Ports, Built-in Speakers, Silver",4.7,466,158.87,monitor
118,B087QRW81Z,"Sceptre IPS 24-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, E248W-FPT, Machine Black",4.6,1134,119.97,monitor
119,B089BTLL9K,"Sceptre IPS 27-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, Machine Black 2020 (e275W-FPT)",4.6,1156,139.97,monitor
120,B08C63NR1V,"ASUS VA27DQSB 27” Monitor, 1080P Full HD, 75Hz, IPS, Adaptive-Sync, Eye Care, HDMI DisplayPort VGA USB Hub, Frameless, Ergonomic Design, VESA Wall Mountable",4.7,47,179.0,monitor
121,B07RNMNWSY,"Samsung 27-Inch CR50 Frameless Curved Gaming Monitor (LC27R500FHNXZA) – 60Hz Refresh, Computer Monitor, 1920 x 1080p Resolution, 4ms Response, FreeSync, HDMI,Black",4.7,493,197.99,monitor
122,B08KWNK6HS,"MSI 34"""" Ultra Wide QHD RGB LED Non-Glare Super Narrow Bezel 1ms HDR Ready 3440 x 1440 100Hz Refresh Rate Free Sync Height Adjustable Curved Gaming Monitor (Optix MAG342CQRV), Black",4.3,14,429.99,monitor
123,B07GBY2M8V,"Dell P2419HC - LED Monitor - Full HD (1080P) - 24""",4.6,426,219.97,monitor
124,B088VMY23M,"Sceptre IPS 24” Gaming Monitor 165Hz 144Hz Full HD (1920 x 1080) FreeSync Eye Care FPS RTS DisplayPort HDMI Build-in Speakers, Machine Black 2020 (E248B-FPT168)",4.6,2460,179.97,monitor
125,B07YGY3RMQ,"Acer XF270HU Cbmiiprx 27” WQHD (2560 x 1440) TN AMD FreeSync Gaming Monitor, 144Hz Refresh Rate, 1ms, (Display Port 1.2 & 2 x HDMI Ports),Black",4.6,1395,329.99,monitor
126,B08L3HSHQ4,Eyoyo Small Monitor 8 inch Mini HDMI VGA Display Screen 1280x720 High Resolution IPS Display Server Monitor for Computer/PC/Raspberry Pi w/Speakers/Remote Control/Wall Mount,4.8,7,89.99,monitor
127,B07MKZHR3P,"AV-Cables 12G 4K HD SDI BNC - BNC Cable Belden 4855R Mini RG59 (50ft, Black)",4.6,43,84.36,monitor
128,B00QRMFEAQ,MarCELL Cellular Temperature/Humidity Monitor (Verizon),4.6,299,189.0,monitor
129,B07TNM8L6S,"Asus VG248QG 24” Gaming Monitor, 1080P Full HD, 165Hz (Supports 144Hz), G-SYNC Compatible, 0.5ms, Extreme Low Motion Blur, Eye Care, DisplayPort HDMI DVI,Black",4.7,1576,199.99,monitor
130,B084RF63FK,"Triple Monitor Stand - Full Motion Articulating Aluminum Gas Spring Monitor Mount Fit Three 17 to 32 inch Flat/Curved LCD Computer Screens with Clamp, Grommet Kit, Black",4.2,1355,110.99,monitor
131,B01IPHVFUI,"Samsung CF390 Series 27 inch FHD 1920x1080 Curved Desktop Monitor for Business, HDMI, VGA, VESA mountable, 3-Year Warranty, TAA (C27F390FHN), Black",4.7,2094,209.99,monitor
132,B078GSH1LV,"LG 34WK650-W 34"" UltraWide 21:9 IPS Monitor with HDR10 and FreeSync (2018), Black/White",4.6,749,296.99,monitor
133,B07WVN1N8C,"AOC 24B2XH 24"" Full HD IPS Monitor, 3-Sided Frameless & Ultra Slim HDMI and VGA inputs, Lowblue Mode, VESA compatible,Black",4.6,1851,109.99,monitor
134,B08BG4GWRL,"Acer Nitro XV340CK Pbmiipphzx 34"" QHD (3440 x 1440) IPS Gaming Monitor with AMD Radeon FREESYNC, 144Hz, 1ms VRB, HDR10 Technology, (2 x Display Ports, 2 x HDMI 2.0 & 2 x USB 3.0 Ports), Black",4.3,165,449.99,monitor
