Title,ASIN,Batterylife_hrs,Batteries,Best_seller_rank,Brand,Card_Description,Color,Comp_memory_type,First_date_avai,Memory_size,Graphic_coprocessor,Hardware_Platform,Item_Dimension,Model_number,MaxScreen_res,OS,Power_source,Processor_brand,Processor_count,Prod_dimension,Screen_resolution,Series,Display_size
"Lenovo 14"" ThinkPad X1 Carbon Gen 8 Laptop - 14"" WQHD (2560 x 1440) - 1.8 GHz Intel Core i7-10610U Quad-Core - 512GB SSD - 16GB - Windows 10 pro",B08LW789RD,,1 9V batteries required. (included),86333,Lenovo,,,GDDR4,2020-10-26,512,Integrated Intel UHD Graphics,PC,,X1 Carbon Gen 8,2560 x 1440 ,Windows 10 Pro,Battery Powered,Intel,4,,,ThinkPad X1 Carbon Gen 8,14
"Dell XPS 15 9500 15.6 inch UHD+ Touchscreen Laptop Intel Core i7-10750H 32GB RAM, 512GB SSD NVIDIA GTX1650Ti 4GB Windows 10 Pro Silver (Renewed)",B08Q8SC613,,1 Lithium ion batteries required. (included),,Dell,Dedicated,,DDR SDRAM,2020-12-10,,NVIDIA GeForce GTX 1650 Ti,PC,,XPS 15 9500,3840x2400 MP,Windows 10,,Intel,6,,,Dell XPS,15.6
"ThinkPad T480 14.0"" FHD Touchscreen // i5-8350U / 16GB DDR4 / 512GB SSD / Fingerprint / Win10Pro / 1 Year Lenovo Warranty",B08BTG8XCV,,,172840,Lenovo,Integrated,Black,DDR4 SDRAM,2020-06-24,512,Intel UHD Graphics 620,PC,13.25 x 9.16 x 0.79 ,T480,1920x1080 ,Windows 10,Battery Powered,Intel,4,13.25 x 9.16 x 0.79 ,,Lenovo Thinkpad,14
"Dell Inspiron 15 5000 15.6"" Full HD Notebook Computer, AMD Ryzen 5 2500U 2.0GHz , 8GB RAM, 256GB SSD, Windows 10 Home",B07JR3RVGV,,1 Lithium ion batteries required.,168531,Dell,Integrated,Silver,Unknown,2018-10-26,256,AMD Radeon Vega 8,,19.5 x 3 x 13.5 ,Inspiron 15 5000,1920 x 1080,Windows 10 Home,Battery Powered,Intel,1,19.5 x 3 x 13.5 ,,Dell Inspiron,15.6
"Dell Latitude 5410 14"" Notebook - Full HD - 1920 x 1080 - Core i7 i7-10610U 10th Gen 1.8GHz Hexa-core (6 Core) - 8GB RAM - 256GB SSD, 14-14.99 inches",B08B9XWSR2,,,189374,Dell,Integrated,,DDR4 SDRAM,2020-06-16,256,Intel UHD Graphics 620,PC,8.5 x 12.72 x 0.83 ,5410,1920 x 1080 ,Windows 10 Pro,,Intel,1,8.5 x 12.72 x 0.83 ,,JDM77,14
"MSI GS75 Stealth-1074 17.3"" 144Hz 3ms Ultra Thin and Light Gaming Laptop Intel Core i7-9750H RTX2080 32GB 1TB NVMe Thunderbolt 3 Win10 (Renewed)",B082J8P2NL,,,51539,MSI,Dedicated,,,2019-12-09,1,NVIDIA GeForce RTX 2080,PC,,,1920 x 1080,Windows 10,,Intel,6,,,GS75 Stealth-1074,17.3
"Dell Latitude 5300 13.3"" Touchscreen 2 in 1 Notebook - 1920 X 1080 - Core i7 i7-8665U - 16GB RAM - 256GB SSD",B07S2Z68Q6,,1 Lithium ion batteries required. (included),110541,Dell,Integrated,,DDR4 SDRAM,2019-05-21,256,Intel UHD Graphics 620,PC,8.16 x 12.1 x 0.77 ,5300,1920 x 1080 ,Windows 10 Pro,Battery Powered,Intel,1,8.16 x 12.1 x 0.77 ,,5300,13.3
Dell Alienware AW15R3-7390SLV-PUS 15.6in FHD laptop 7th Generation Intel Core i7 16GB RAM 512GB SSD + 1TB HDD NVIDIA GTX 1070 (Renewed),B07C3KBBY7,7,,161250,Alienware,Dedicated,Epic Silver,GDDR5,2018-04-11,512,NVIDIA GeForce GTX 1070,PC; Notebook,15.31 x 12.01 x 1 ,AW15R3-7390SLV,1920 x 1080,Windows 10,Battery Powered,Intel,4,15.31 x 12.01 x 1 ,,Alienware 15R3,15.6
"Lenovo ThinkPad T14 Gen 1 20S0002RUS 14"" Notebook - 1920 x 1080 - Core i7 i7-10610U - 8 GB RAM - 256 GB SSD - Windows 10 Pro 64-bit - Intel UHD Graphics",B08B3WGZG5,,1 Lithium ion batteries required.,54927,Lenovo,,,DDR DRAM,2020-06-12,256,,,,20S0002RUS,1920 x 1080,Windows 10 Pro,Battery Powered,Intel,7,,1920 x 1080,Lenovo Thinkpad,14
"Dell XPS 15 9500 15.6"" 4K UHD+ (3840 x 2400) Touchscreen 10th Gen Intel Core i7-10750H 32GB RAM 1TB NVMe SSD GeForce GTX 1650 Ti Windows 10 Professional Silver",B08FBVXGZW,,1 Lithium ion batteries required. (included),26640,Dell,Dedicated,Silver,DDR4 SDRAM,2020-08-06,1 TB,NVIDIA Geforce GTX 1650 Ti Graphics,PC,13.57 x 9.06 x 0.71 ,XPS9500-7852SLV-PUS,(3840 x 2400) ,Windows 10,Battery Powered,Intel,6,13.57 x 9.06 x 0.71 ,,XPS9500,15.6
